date,1. open,2. high,3. low,4. close,5. volume,Ticker
2024-12-31,176.35,177.84,175.92,177.7,3326732.0,ABBV
2024-12-30,177.02,177.34,175.5101,176.2,3405687.0,ABBV
2024-12-27,177.92,179.66,177.29,178.01,2745373.0,ABBV
2024-12-26,179.02,180.35,178.63,179.2,2759421.0,ABBV
2024-12-24,178.41,180.17,177.8408,180.0,2692814.0,ABBV
2024-12-23,175.29,178.65,174.63,178.39,6945621.0,ABBV
2024-12-20,171.794,176.8,170.66,175.58,18950908.0,ABBV
2024-12-19,172.93,173.88,170.3411,171.52,6110511.0,ABBV
2024-12-18,176.03,176.5,172.82,173.02,5471574.0,ABBV
2024-12-17,170.58,176.5,170.21,175.38,7664728.0,ABBV
2024-12-16,171.674,173.34,170.53,171.63,8157926.0,ABBV
2024-12-13,173.25,174.92,172.39,173.37,5471791.0,ABBV
2024-12-12,174.91,175.9061,171.99,173.19,4999451.0,ABBV
2024-12-11,175.96,176.0,173.84,174.37,9492204.0,ABBV
2024-12-10,175.53,176.92,173.83,175.67,4089569.0,ABBV
2024-12-09,175.59,178.13,174.38,176.57,4394811.0,ABBV
2024-12-06,176.0,176.74,174.16,176.19,4839640.0,ABBV
2024-12-05,174.98,176.72,173.53,176.17,5444240.0,ABBV
2024-12-04,180.1,180.45,175.91,176.46,6125479.0,ABBV
2024-12-03,182.28,183.51,181.48,181.5,4107553.0,ABBV
2024-12-02,182.275,182.7,178.86,181.77,3936877.0,ABBV
2024-11-29,183.14,183.54,182.5,182.93,2710732.0,ABBV
2024-11-27,181.14,184.24,180.89,183.08,5271481.0,ABBV
2024-11-26,177.09,181.65,176.67,181.14,6947512.0,ABBV
2024-11-25,177.02,180.19,176.75,177.06,12464964.0,ABBV
2024-11-22,174.34,178.864,173.5,176.95,11328616.0,ABBV
2024-11-21,168.59,172.455,166.92,171.73,6847695.0,ABBV
2024-11-20,166.91,167.91,165.65,167.76,7135608.0,ABBV
2024-11-19,165.27,167.1,163.81,166.57,5245994.0,ABBV
2024-11-18,165.62,166.74,164.8,166.28,8341413.0,ABBV
2024-11-15,169.63,169.63,164.72,164.99,11265398.0,ABBV
2024-11-14,170.0,171.62,168.59,169.63,8442546.0,ABBV
2024-11-13,171.67,172.64,169.65,170.35,8483499.0,ABBV
2024-11-12,176.01,176.63,171.03,171.09,10556977.0,ABBV
