date,1. open,2. high,3. low,4. close,5. volume,Ticker
2024-12-31,330.93,333.0964,327.5,328.93,1793757.0,GEV
2024-12-30,324.34,335.64,323.0001,330.26,1837750.0,GEV
2024-12-27,339.95,340.75,332.5,333.8,1506587.0,GEV
2024-12-26,345.8,345.8,338.9,343.07,1211476.0,GEV
2024-12-24,347.22,348.99,343.32,347.29,1062360.0,GEV
2024-12-23,344.25,346.28,337.0,344.92,1436153.0,GEV
2024-12-20,328.13,345.6399,327.1501,342.66,5476077.0,GEV
2024-12-19,324.95,337.46,322.51,332.8,4587897.0,GEV
2024-12-18,327.59,332.06,314.19,317.12,3906912.0,GEV
2024-12-17,333.0,334.0,323.5,328.34,4408883.0,GEV
2024-12-16,336.06,340.5,330.84,337.71,4229793.0,GEV
2024-12-13,334.78,338.0,329.45,332.01,2972926.0,GEV
2024-12-12,343.0,343.0,328.19,329.91,3281840.0,GEV
2024-12-11,333.56,350.58,333.33,343.8,6671723.0,GEV
2024-12-10,334.21,336.59,322.3314,327.39,3473498.0,GEV
2024-12-09,340.35,345.0,324.5,335.25,3045948.0,GEV
2024-12-06,347.5,349.32,341.0,346.51,1622761.0,GEV
2024-12-05,346.02,354.6899,344.94,348.13,2099463.0,GEV
2024-12-04,336.485,344.73,333.63,343.75,2424016.0,GEV
2024-12-03,338.75,339.96,326.63,331.92,2103767.0,GEV
2024-12-02,335.73,346.67,335.51,337.54,2327994.0,GEV
2024-11-29,334.46,336.62,332.67,334.12,883728.0,GEV
2024-11-27,339.23,339.74,329.63,335.33,2318182.0,GEV
2024-11-26,332.27,340.71,330.615,338.89,2007910.0,GEV
2024-11-25,353.52,354.99,328.1938,328.98,6212395.0,GEV
2024-11-22,339.85,349.7,334.0,349.16,2714644.0,GEV
2024-11-21,349.9,357.09,339.38,339.85,2671849.0,GEV
2024-11-20,343.75,348.0,337.74,342.77,2633639.0,GEV
2024-11-19,320.01,340.39,317.55,340.0,2200573.0,GEV
2024-11-18,326.57,333.24,322.16,325.37,1816464.0,GEV
2024-11-15,325.1,339.2358,325.1,329.76,2931274.0,GEV
2024-11-14,333.26,335.1109,325.28,326.04,2449456.0,GEV
2024-11-13,334.42,343.6434,330.55,333.26,3054493.0,GEV
