symbol,date,headline,summary,url
AMZN,1735484413,Tech Companies Are Pricing Locals Out As A New Report Shows How They Cause Housing Prices To Soar,"The news that a major tech company plans to invest in your town or city is usually cause for celebration. The investment brings with it additional infrastructure, amenities and housing. Existing homeowners gleefully anticipate the increased equity in ...",https://finnhub.io/api/news?id=938ffd55d92c87571b12ad989c6f5eb1c2e75fa5540eb25a02e59b56d9bf1359
AMZN,1735474654,"IETC: Strong Performance, Growth Potential Amidst AI Evolution","IETC has outperformed major tech funds, but high valuation and downside risk indicate caution for investors seeking entry into this growth-focused fund.",https://finnhub.io/api/news?id=edb19444334f6d4d69bdb1293f245edba52950e226325f219742846b0be3d35d
AMZN,1735473180,Could the Rise of E-Commerce Sales at Walmart and Costco Spell Trouble for Amazon?,Amazon (NASDAQ: AMZN) has an unmatched e-commerce presence and a lead so wide it would be impossible for any competitor to get even close to it in the near future.  Does this spell trouble for Amazon?  What many customers are discovering is that combining in-store and online shopping -- even for the same purchase -- often makes the most sense.,https://finnhub.io/api/news?id=88e25d7c4fd5c753d3dcea29cb26412264fc45a8b8122860868e90b8acff77c5
AMZN,1735466400,Rite Aid ‘zombies’ are pockmarking America,Rite Aid is becoming a haunting sight across America.,https://finnhub.io/api/news?id=e07a175a0db516a8cd6da72e5a9779ecc445f23719d4f9f88fc054443cab67b2
AMZN,1735464600,Alibaba: Nothing Is Over Yet,"Alibaba reshuffles commerce business, faces market share losses in China, AI growth opportunity yet to boost cloud performance.",https://finnhub.io/api/news?id=8b01254ba8c9451ad14aa151dc6598f353570478e9675d789699fd45b3f12313
AMZN,1735439881,Estee Lauder: The Road To Recovery Remains Cloudy,"Estee Lauder has a new management team, cut its dividend by 47%, and suspended its FY25 outlook. Check out the analysis of EL stock.",https://finnhub.io/api/news?id=6d1474849a7f1e03a76129c713eeabc1b1414e47f2391f1b0ef82a959e55dec8
AMZN,1735437600,Corporate America Drew Back From DEI. The Upheaval Isn’t Over.,"From Ford to Walmart, some big companies dialed back diversity efforts as activists pressed. Under the next Trump administration, the pressure will grow.",https://finnhub.io/api/news?id=6562db67596ca8f7c9a8ee1f201d14806a082f9b566473ad2be2ad76d4084bc4
AMZN,1735395780,This Magnificent Stock Has Made Many Millionaires -- and Could Make More,"Since it went public in 1997, Amazon has delivered a 233,100% gain for investors.  Speaking of international business, it is worth mentioning that more than 70% of Amazon's e-commerce business still comes from North America.",https://finnhub.io/api/news?id=777275202b1becf91738ec72df3c1b9760385e17bd726808dd109cb81f461f03
AMZN,1735389549,Billionaire David Tepper’s Long-Term Stock Pick: Why Amazon.com (AMZN) Stands Out,"We recently compiled a list of the Billionaire David Tepper’s 10 Long-Term Stock Picks. In this article, we are going to take a look at where Amazon.com, Inc. (NASDAQ:AMZN) stands against the other long-term stock picks of Billionaire David Tepper. David Tepper’s Appaloosa Management is a multi-billion dollar hedge fund that was co-founded by billionaire Carolina Panthers owner […]",https://finnhub.io/api/news?id=5a3ce49a9fbb3dd82a59ba8d662191997b7b603eb266153b982bef98d822e671
AMZN,1735386300,3 Top Stocks to Buy in 2025,"Here's why three Fool.com contributors believe Walmart (NYSE: WMT), Nike (NYSE: NKE), and Dollar General (NYSE: DG) are timely buys heading into the new year.  Jennifer Saibil (Walmart): It's been a great year for retail giant Walmart, and it's likely to get even better in 2025.  In a new and exciting trend, e-commerce has become a major growth driver, and there are several reasons that is likely to contribute to a booming business in 2025.",https://finnhub.io/api/news?id=9ecb76bfb06aa631060c5d792fea909ac4654879e947e27d428b2c6362ce5a25
