Date,Label,News
2008-01-02,0,"pakistan: a view from the d.j. booth elections delayed in pakistan hunger strike in france to protest gene-altered crops u.s. isn't ready to accept pakistan's initial findings saudis confirm detention of blogger mob sets kenya church on fire, killing dozens u.s. isn’t ready to accept pakistan’s initial findings in iowa, 3 candidates, 3 worlds clock ticks down for candidates in iowa opposition parties decry election delay in pakistan"
2008-01-03,0,"pakistan: a view from the d.j. booth iran tells un it will answer all nuclear questions within four weeks huckabee, ignored by christian leaders, has galvanized many evangelicals campaign turns from iowa to new hampshire fatigue factor gives equal time to u.s. presidential candidates everything you wanted to know about caucuses unwilling new frontier for migrants: 3 greek isles egypt permits pilgrims to cross back into gaza congressional crackdown on lobbying is already showing cracks hard-work theme of australia's new leader running out of steam"
2008-01-04,1,"college admissions: a little guidance dakar rally cancellation chaos in kenya education overhaul shakes up german universities iowa results lead dodd and biden to quit race merkel backs proposal to crack down on young offenders in germany call for change shakes up the democratic field with obama's victory, uncertainty in democratic nominating fight thailand: business climate al jazeera no longer nips at saudis"
2008-01-07,0,"lewis hamilton’s birthday present a general in musharraf's shadow raises u.s. hopes china blocks activist from jail visits by attorneys china's fish farms are cleaner - for now ahmadinejad loses favor with khamenei, iran's top leader president saakashvili says georgia is on way to democracy obama and mccain ride momentum; clinton feels the pressure congo opens talks on ending fighting in eastern region kenya rivals agree to talks repository of nazi records to take holocaust survivors' questions"
2008-01-08,1,"offensive in diyala security council regrets lack of progress in myanmar american held in pakistani jail is gravely ill clinton in a fight for her political life canada: appeal in serial killer case suicide bomber kills key sunni leader  bombarded by rockets, an israeli town reels it's (almost) official: sarkozy to marry bruni major u.s. offensive in iraq is no surprise to insurgents p. k. sethi, 80, inventor of the low-tech limb"
2008-01-09,1,"fear and anger in kenya ethnic koreans killed in fire had left china for a new life momentous win for clinton iran says u.s. faked video of gulf confrontation at gaza’s edge, israelis fear rockets’ whine jean-claude vrinat, owner of famed paris restaurant, is dead at 71 mideast leaders agree to core talks britain: bhutto’s son critical of u.s. kosovo leader promises independence in weeks china bans free plastic shopping bags"
2008-01-10,0,indian car culture launching cars on the internet – and beyond ex-cia aide won't testify on tapes without immunity analyzing the new hampshire surprise consultant questions beijing’s claim of cleaner air new penalties set as bush calls iran a threat to peace poland and czech republic will coordinate negotiations on defense shield sarkozy reverses himself on 35-hour week executions and amputations rise in iran suharto left behind as indonesia moves on
2008-01-11,1,"afghanistan's police force williams team deal with baugur group many palestinians offer a bleak opinion of bush iran shows its own video of vessels’ encounter in gulf north korea: u.s. suggests a new nuclear deadline annan to help in kenya, group says ex-first lady of france fails to block publication of book sir edmund hillary, 88, a pioneering conquerer of everest bosnia: police take passports of karadzic family u.s. and germany plan to recognize kosovo"
2008-01-14,0,"something's fishy as europe dines taiwan election may ease tensions with china attack at luxury hotel kills 6 in kabul ex-baathists get a break. or do they? an iraqi house was rigged to kill american soldiers europe takes africa's fish, and migrants follow woman released by guerrillas returns to colombia to see son big afghan weddings, banned under taliban, are back error by allies and 2 clashes kill 15 in south of afghanistan race and gender are issues in tense day for democrats"
2008-01-15,0,"the week ahead alonso fastest in jerez a favorite meal, now offering a side order of environmental awareness in kenya, opposition wins a round as parliament votes in speaker russian press review: jan. 15 rice makes unannounced visit to baghdad olmert is cautious as talks with palestinians begin fighting flares in gaza in south carolina, a bid for black women's votes u.s. plans sale of 900 missiles to saudi arabia"
2008-01-16,0,"the two sebastiæns at toro rosso kenya opposition plans more protests iraq reconstruction figures were wrong, gao says islamic militants overrun fort in pakistan visiting american admiral confers with chinese generals ‘the kite runner’ film outlawed in afghanistan spate of police commander murders in mexico pope cancels speech after protest at university obama and clinton seek a softer tone in democratic presidential debate 18 palestinians killed in gaza clashes"
2008-01-17,0,crackdown in kenya educating india's poor violent clashes in kenya ba jet crash-lands at heathrow judge dismisses challenge against obama supporters dispute deepens for russia and britain french court finds oil company partly liable for spill egypt’s problem and its challenge: bread corrupts gates backpedals on allies' performance in afghanistan pakistan fort overrun by militants
2008-01-18,0,"11 die in attack on a shiite mosque in iraq 12 killed in suicide bombing at shiite mosque in pakistan rockets hit israel, whose strikes kill 5 palestinians health care could sway nevadans israel closes border and steps up military action in gaza cia says militant was behind bhutto's death bloggers push china to prosecute beating death crash landing temporarily paralyzes heathrow last-minute campaigning in nevada and south carolina opposition in kenya shifts to boycotts from demonstrations."
